,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
476,2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M
478,2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
479,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
486,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
497,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
524,2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
526,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
552,2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
553,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
569,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
570,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
571,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
574,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
575,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
576,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
587,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
592,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
593,2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
596,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
598,2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
599,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
165,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
342,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
343,2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M
39,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
159,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
206,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
453,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
477,2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
485,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
532,2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
533,2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
115,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
419,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
420,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
